,Producto,Precio,URL
0,"Notebook HP 15-ef2126wm spruce blue 15.6"", AMD Ryzen 5 5500U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 7 1920x1080px Windows 10 Home",144.999,https://www.mercadolibre.com.ar/notebook-hp-15-ef2126wm-spruce-blue-156-amd-ryzen-5-5500u-8gb-de-ram-256gb-ssd-amd-radeon-rx-vega-7-1920x1080px-windows-10-home/p/MLA18717712?pdp_filters=category:MLA1652#searchVariation=MLA18717712&position=1&search_layout=stack&type=product&tracking_id=b8fa732b-f7a0-47e5-a44a-8b9b85f5b290
1,"Notebook Dell Inspiron 3515 plateada 15.5"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 1366x768px Windows 11 Home",154.999,https://www.mercadolibre.com.ar/notebook-dell-inspiron-3515-plateada-155-amd-ryzen-5-3450u-8gb-de-ram-256gb-ssd-amd-radeon-rx-vega-8-ryzen-20003000-1366x768px-windows-11-home/p/MLA19034498?pdp_filters=category:MLA1652#searchVariation=MLA19034498&position=2&search_layout=stack&type=product&tracking_id=b8fa732b-f7a0-47e5-a44a-8b9b85f5b290
2,"Notebook Asus Vivobook 15,6 I5 256ssd 8gb W11 ",169.999,https://articulo.mercadolibre.com.ar/MLA-1169024014-notebook-asus-vivobook-156-i5-256ssd-8gb-w11-_JM?searchVariation=175253976349#searchVariation=175253976349&position=27&search_layout=stack&type=item&tracking_id=b8fa732b-f7a0-47e5-a44a-8b9b85f5b290
3,Notebook Cloudbook Oryx  14  Smart Pro 4gb 64gb  Windows 10 ,43.739,https://articulo.mercadolibre.com.ar/MLA-1116830290-notebook-cloudbook-oryx-14-smart-pro-4gb-64gb-windows-10-_JM?searchVariation=174033576342#searchVariation=174033576342&position=28&search_layout=stack&type=item&tracking_id=b8fa732b-f7a0-47e5-a44a-8b9b85f5b290
4,"Notebook Dell Inspiron 3511 plata 15.6"", Intel Core i3 1115G4  8GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 1366x768px Windows 11 Home",129.999,https://www.mercadolibre.com.ar/notebook-dell-inspiron-3511-plata-156-intel-core-i3-1115g4-8gb-de-ram-256gb-ssd-intel-uhd-graphics-xe-g4-48eus-1366x768px-windows-11-home/p/MLA19619195?pdp_filters=category:MLA1652#searchVariation=MLA19619195&position=3&search_layout=stack&type=product&tracking_id=b8fa732b-f7a0-47e5-a44a-8b9b85f5b290
5,Notebook Hp 15-eh0009la Amd Ryzen 7 4700 8gb 512gb Ssd Win11,197.999,https://articulo.mercadolibre.com.ar/MLA-1184349303-notebook-hp-15-eh0009la-amd-ryzen-7-4700-8gb-512gb-ssd-win11-_JM?searchVariation=175404996369#searchVariation=175404996369&position=29&search_layout=stack&type=item&tracking_id=b8fa732b-f7a0-47e5-a44a-8b9b85f5b290
6,"Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",287.699,https://www.mercadolibre.com.ar/apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-gris-espacial/p/MLA17828518?pdp_filters=category:MLA1652#searchVariation=MLA17828518&position=4&search_layout=stack&type=product&tracking_id=b8fa732b-f7a0-47e5-a44a-8b9b85f5b290
7,Notebook Hp 14-dk1510la Athlon 3020e 4gb 256gb 14  W10hs,99.999,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=QpMSQsFI2sWNxyuSoSQkQsE7bIoQIL0AUZMjm5rXNYrx9snpf%2Bmz0RPx9U%2FEBIzy1%2BSvmiiEGVoKg7JaTuo8VSLhrly2nojXvkBby7WmUeYChzftpm4Agj%2BV5vZ%2BRj%2FeV0UX34M6HJ0JkxpIv7U%2Bln7xVh5NipO7qCgr44JzDEUHsGgsQ%2BaQk5FcdHC42lLEOIRM1Mn3USn9SXGNjwmLsclIayQWLs2rI6tCKzj5WrIBWzftW6k569q1OBpKmDaHjVAgpvd2oE1dXgv0IUzwASy8ASaHkRfZzS0gFdvDdv%2BX%2FhAMxse4pZrs%2F7LFmZtSc8TIfTEE0Z97gHZEZVzrgucO3yoBhGwJV%2FmiMHXyWPvZgPuKt8unKIZdhhN%2F13%2B1hX6r1%2FxNSqBWn0hoGTIkcaI0%2FhBxLqYepNkZJvCakrCfR2x6JzZxCUixmIYoRMEjKnvBZQ6LFff4jlFz4oVIwP0xJHv6b4txWD%2Fpt7r78VpkkgsWkRp9k4J3W0rgfQ%2Frz89vBZE13xsmRMYr7cuo23ioSh4Fga6TuYJMhrryYaTTBhDWu1qLXjUg%2BLQOdi7bmX2Mn0TZqHhQC1O7lQWCZI5NIvFxE9EW2Y2YU85riNJVxTQpP1DaPdUXSwJqutqVZ1o515OyKEBKGyWv4tOeP41gFjFW8ORsP7iIetjpjam%2Bp%2B6E1k%2F%2FePTVsteLWqB1o%2Bb7so6MLe1YV3EuadeL4DDPeRYfxVx%2BxyFbxaNx9uvF4ni1LbofK7K9wseeXsMj3uTYW5%2F6Aa8%2B0iJEonrJhwS4cKCqRHsX5XyJ5nw%3D&rb=x
8,Notebook Lenovo Intel I5 8gb De Ram 512 Ssd 14 Fhd Win11,191.599,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=nQK%2FsFrZ74n8WZTYxYi9ViXLJfGaivnwZw6c3ZWpxrW9KCLVjpdDArKiwbBMjRwUHZ%2BtFABSPKAO%2BgEwGI%2BK9dZdNhJZu%2FMAIAMBpmh884sP1wQPQcrWlV2wbw4LEBm1mWqjsi9jrxtgj33KdbGtMH6hj3g92T%2FiBYOsbW41huQVrNVrc9OaXQd8QW9W2AOOYwae5FHidr9xrwfkNXL71j8ByYfExzY9cmq%2FGjMzdVBPG3iKse3Og2gqeBAEmEWGS%2FnxV2wTSd9CujMUVVzk8etAlQHaRd3EcbZT96zg9jE%2BI6dXn%2B96tXX4bWpYyW1WGuver6OqQ6iYm%2BKicjM4G0gt%2B3B1Htr10%2Bxdk3lyaQGiGUK5fChgEWyYTytn7qQSTsL4qwfevUPKdaZau7v6W6pYkUJNEnD%2Bbr2pIUobpyCrl%2FJ1fwwRNadoAR1AYPRIjgUJoUVO7UxMMA5g9lMpGaHT9bF2OPujelYWlW66UFuMkKbt6hTjDEEaA6J3nPYnCQxMBIm8N8ZODKDQJVjrHz1Ru34aL5JE6PoHj5lJrBmvwgrChPfqWirr2rmtS4ooahU%2FWxHdtUznsjHADYnF25Ojsh5UTt1BPBuHZPqT3PyXzSHkBPsiL8Pd6Jj00rZprIJDFZS%2BxOp0JhaJKvlVhgM%2By6zOEQbzIW9P%2B3w%2BCK6BzMIQgDqvGSq0eh8RJbTu5D4ssT2y3QryNVLjjz7Hdyw19iYsQeFgzNyo794tF1KU8tjztESSEmtoGJ22TyXrR5BcB9c5D7tqVZ4qoc8XDkdDGNfKGQLUAAggsgUBOQ%3D%3D&rb=x
9,"Notebook HP Pavilion 15-eh0004la plata natural 15.6"", AMD Ryzen 3 4300U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 5 1366x768px Windows 10 Home",139.999,https://www.mercadolibre.com.ar/notebook-hp-pavilion-15-eh0004la-plata-natural-156-amd-ryzen-3-4300u-8gb-de-ram-256gb-ssd-amd-radeon-rx-vega-5-1366x768px-windows-10-home/p/MLA19048705?pdp_filters=category:MLA1652#searchVariation=MLA19048705&position=5&search_layout=stack&type=product&tracking_id=b8fa732b-f7a0-47e5-a44a-8b9b85f5b290
