,Fighter,Report,Card,Card Date,Opponent,Resolution,Next Apparence,Notes
0,Marlon Moraes,2/22/2022,UFC Fight NIght 203,3/12/2022,Song Yadong,Fight not changed,,
1,Abdul Razak Alhassan,2/21/2022,UFC Vegas 48,2/19/2022,Joauin Buckley ,Figh not changed,,
2,Poliana Botelho,1/19/2022,UFC 270,1/22/2022,Ji Yeon Kim,Fight scrapped,NA,
3,Johnny Walker,1/2/22,UFC Fight Night 202,2/19/2022,Jamahal Hill,Fight not changed,,
4,Matt Brown,11/23/21,UFC Vegas 44,12/4/2021,Bryan Barberena,Replaced by Darian Weeks,NA,
5,Cheyanne Buys,11/10/21,UFV Vegas 43,11/20/2021,Loma Lookboonmee,Replaced by Lupita Godinez,NA,
6,Justin Gaethje,10/6/2021,NA,NA,NA,,UFC 268 ,
7,Miesha Tate,9/22/2021,UFC Vegas 40,10/16/2021,Ketlen Vieira,Fight Scratched - rescheduled for UFC Vegas 43,UFC Vegas 43,
8,Raquel Peningonn,9/19/2021,NA,NA,NA,,NA,Hospitalized
9,Dakota Bush,9/15/2021,UFC Vegas 37,9/18/2021,Zhu Rong,Replaces by Brandon Jenkins,NA,
10,Jim MIller,9/10/2021,UFC Vegas 37,9/18/2021,Niklas Motta,Miller replaced by Cameron VanCamp,NA,First fight withdrawal ever for Miller
11,Antonio Braga Neto,9/2/2021,UFC Vegas 34,8/21/2021,Abdul Razak Hassan,Fight scratched,Released by UFC,Released by UFC
12,Rani Yahya,7/31/2021,UFC Vegas 33,7/31/2021,Kyung Ho Kang,Fight scratched,NA,
13,Amanda Nunes,7/29/2021,UFC 265,8/7/2021,Julianna Pena,Fight scratched,NA,
14,Amanda Ribas,5/23/2021,UFC Vegas 28,6/5/2021,Angela Hill,Fight scratched,NA,
15,Jack Hermansson,5/19/2021,UFC 262,5/17/2021,Edmen Shahbazyan,Rescheduled for UFC Vegas 27 - May 22,,Hermansson won via UD
16,Amanda Ribas,5/8/2021,UFC on ESPN 24,5/8/2021,Angela Hill,"Rescheduled for June 5, 2021",,
17,Amanda Ribas,Not reported,NA,NA,NA,NA, ,Ribas reported 5/8 was second bout with COVID-19
18,Kamaru Usman,4/22/2021,Post-UFC 251,,,,,ESPN Cover Story Profile
19,Ricardo Ramos,4/14/2021,UFC Vegas 24,4/17/2021,Bill Algeo ,Fight scratched,Possible May 18,
20,Rafael Fiziev,4/9/2021,NA,NA,NA ,Unable to accept fight against Top-15 opponent,NA,
21,Hannah Goldy,3/24/2021,UFC 260,3/27/2021,Jessica Penne,FIght scratched - rescheduled for April 17,Possible April 17,
22,Randa Markos,3/22/2021,UFC 260,3/27/2021,Luana Pinheiro,Fight scratched - reschduled for May 1,Possible May 1,
23,Alexander Volkanovski,3/20/2021,UFC 260,3/27/2021,Brian Ortega,Fight scratched,NA,
24,Paulo Costa,3/16/2021,April 17,4/17/2021,Robert Whittaker,Withdrawal from fight,NA,Tested positive a month before reporting 
25,Jamahal Hill,3/10/2021,UFC Vegas 21,3/13/2021,Paul Craig,Fight scratched ,NA,
26,Alonzo Menifield,2/25/2021,UFC Vegas 10,2/27/2021,William Knight,Fight scratched - possibly rescheduled,NA,
27,Raoni Barcelos ,2/22/2021,UFC Vegas 20,2/27/2021,Marcelo Rojo,Fight scratched,NA,
28,Jimmie Rivera,2/9/2021,UFC 258,2/13/2021,Pedro Munhoz,Fight scratched - will be rescheduled ,NA,
29,Marion Reneau,2/3/2021,UFC Vegas 18,2/6/2021,Macy Chiason,"Fight scratched - rescheduled for February 27, 2021",Possible UFC Vegas 20,
30,Raphael Assuncao,2/2/2021,UFC Vegas 18,2/6/2021,Raoni Barcelos,Fight scratched - ,NA,
31,Andre Ewell,2/2/2021,UFC Vegas 18,2/6/2021,Cody Stamann,Fight scratched - Stamann facesAskar Askar ,NA,
32,Chris Weidman,1/29/2021,UFC 258,2/13/2021,Uriah Hall,"Fight Scratched - rescheduled for UFC 261 - April 4, 2021",Possible UFC 261,
33,Mike Gundy,1/11/2021,UFC Fight Island 7,1/16/2021,Nik Lentz,Fight Scratched - Lentz faces Movsar Evloev,NA,
34,Merab Dvalishvili,1/9/2021,UFC Vegas 16,12/5/2020,Cody Stamann,"Fight scratched - rescheduled for UFC 259 - February 6, 2020",Possible UFC 259,COVID-19 was not initially disclosed as reason for fight cancelation in October 2020 (https://twitter.com/iHeartGeorgius1/status/1348025190463250432?s=20)
35,Anthony Hernandez,1/3/2021,UFC Fight Island 7,1/16/2021,Rodolfo Vieira,"Fight scratched - rescheduled for February 13, 2021","Possible February 13, 2021",
